Epoch,Train_Loss,Val_Total,Val_Recon,Val_Vel,Val_Lip,Val_Emo
1,0.3674171332428777,0.2104463347274324,0.02152767661365046,N/A,N/A,N/A
2,0.1382946424741534,0.07651372890973436,0.01934690491390833,N/A,N/A,N/A
3,0.05462311078330681,0.04203406802338103,0.018311484575109636,N/A,N/A,N/A
4,0.03739574334063393,0.03424997781605824,0.01785532983046943,N/A,N/A,N/A
5,0.033233716236869146,0.03094332624712716,0.0171150893944761,N/A,N/A,N/A
6,0.03161418899870004,0.030386125614893608,0.017349445706476337,N/A,N/A,N/A
7,0.030781734641975454,0.02991585204026837,0.016792908516725984,N/A,N/A,N/A
8,0.030263620609511842,0.029162711936278618,0.0158590331700617,N/A,N/A,N/A
9,0.02987256208371598,0.028203905195645664,0.015800363981448438,N/A,N/A,N/A
10,0.029565635415283318,0.028136589982803318,0.015667900834502518,N/A,N/A,N/A
11,0.02917825688981782,0.027953329698547073,0.014961659162561747,N/A,N/A,N/A
12,0.028869635458544176,0.026012755269049736,0.013824840049272862,N/A,N/A,N/A
13,0.028387843108197378,0.027400780685138012,0.014967699832134489,N/A,N/A,N/A
14,0.02802860636996078,0.02607557707992585,0.013457928831432608,N/A,N/A,N/A
15,0.027750831187935452,0.02465775437599075,0.012472506865616078,N/A,N/A,N/A
16,0.027438759229165617,0.02497452083111241,0.012580887600104663,N/A,N/A,N/A
17,0.027221475612415218,0.024296683002857193,0.012305401511949258,N/A,N/A,N/A
18,0.026843732620833307,0.02321173018519429,0.010979488073591736,N/A,N/A,N/A
19,0.026760685853378,0.023369356180014816,0.011017079411101515,N/A,N/A,N/A
20,0.02664207454196197,0.023878178646976965,0.01137580779934491,N/A,N/A,N/A
21,0.026436910540646483,0.02277141400491414,0.010576674410992342,N/A,N/A,N/A
22,0.02631935686609478,0.02455446994660989,0.012101306775719791,N/A,N/A,N/A
23,0.026306102825896634,0.025002028766101685,0.012264030138570546,N/A,N/A,N/A
24,0.026118035648343287,0.023483759899070297,0.011093811729275014,N/A,N/A,N/A
25,0.02603540560115543,0.02529082890006079,0.012568410317265038,N/A,N/A,N/A
26,0.026063482251483017,0.02555485882296942,0.013104439470107141,N/A,N/A,N/A
27,0.025995215955615377,0.023991622611124447,0.011769961849178957,N/A,N/A,N/A
28,0.025885881007537276,0.02437404811760222,0.012369766936003081,N/A,N/A,N/A
29,0.025812220662066118,0.02457225778936476,0.012082444996559534,N/A,N/A,N/A
30,0.025854824021779337,0.024514924559364284,0.012204103991794198,N/A,N/A,N/A
31,0.02573264519776444,0.023718054527821747,0.011486472936509095,N/A,N/A,N/A
32,0.02583807782556204,0.02459596105567787,0.01196717680769338,N/A,N/A,N/A
33,0.025726134385119257,0.024270390578802082,0.011823515320007784,N/A,N/A,N/A
34,0.02560564394499817,0.02366951764628723,0.011373898878261663,N/A,N/A,N/A
35,0.025554070984161483,0.023914624410478966,0.011651105551130098,N/A,N/A,N/A
36,0.025526204770419787,0.023328152728145538,0.01120584728061289,N/A,N/A,N/A
